,City,Cloudiness,Country Code,Dated,Humidity,Latitude,Temperature,Wind Speed
0,Albany,1,US,1567310826,87,42.65,15.56,1.27
1,Punto Fijo,25,VE,1567310827,79,11.69,27.77,13.26
2,Jamestown,0,AU,1567310827,54,-33.21,16.97,5.96
3,Tiksi,0,RU,1567310827,58,71.64,8.67,0.88
4,Newport,1,US,1567310814,72,41.49,18.33,2.1
5,Puerto Ayora,5,EC,1567310828,92,-0.74,21.11,2.68
6,Atuona,10,PF,1567310828,73,-9.8,26.17,5.64
7,Thompson,75,CA,1567310829,81,55.74,9.0,3.1
8,Margate,75,AU,1567310829,62,-43.03,15.56,3.1
9,Iralaya,0,HN,1567310829,91,15.0,24.57,0.83
10,Beringovskiy,100,RU,1567310830,94,63.05,7.87,3.71
11,Busselton,98,AU,1567310830,69,-33.64,16.11,13.75
12,Shache,76,CN,1567310830,83,38.42,21.67,2.55
13,Saint-Philippe,1,CA,1567310831,93,45.36,16.0,2.43
14,Ushuaia,75,AR,1567310831,93,-54.81,0.0,10.8
15,Straumen,0,NO,1567310832,52,63.87,19.0,9.8
16,Chuy,6,UY,1567310832,79,-33.69,9.07,2.54
17,New Norfolk,75,AU,1567310832,62,-42.78,15.56,3.1
18,Butembo,51,CD,1567310833,91,0.12,15.07,1.2
19,Port Elizabeth,40,US,1567310833,82,39.31,23.0,1.51
20,Talnakh,100,RU,1567310834,87,69.49,10.0,5.0
21,Cabo San Lucas,75,MX,1567310625,78,22.89,28.0,1.21
22,Bluff,0,AU,1567310834,32,-23.58,24.67,2.22
23,Rio Gallegos,0,AR,1567310835,74,-51.62,2.0,8.7
24,Houma,6,CN,1567310835,42,35.63,26.97,2.85
25,Bambous Virieux,40,MU,1567310835,73,-20.34,23.33,7.7
26,Rikitea,100,PF,1567310836,87,-23.12,22.87,8.73
27,Yellowknife,90,CA,1567310715,93,62.45,7.0,1.5
28,Kaitangata,0,NZ,1567310836,62,-46.28,12.78,1.79
29,Castle Rock,40,US,1567310836,82,46.27,22.78,1.46
30,Clyde River,90,CA,1567310837,93,70.47,3.0,2.6
31,Vaini,75,IN,1567310837,94,15.34,22.0,4.1
32,Avarua,84,CK,1567310781,64,-21.21,21.0,1.0
33,Hofn,0,IS,1567310838,77,64.25,-2.24,5.41
34,Kapaa,40,US,1567310838,74,22.08,31.0,5.1
35,Sabzevar,5,IR,1567310838,47,36.21,16.57,4.32
36,Nome,1,US,1567310839,94,30.04,27.22,1.5
37,Punta Arenas,40,CL,1567310839,74,-53.16,2.0,7.2
38,Souillac,90,FR,1567310840,87,45.6,17.78,3.15
39,Mukhen,100,RU,1567310840,92,48.19,16.77,2.7
40,Tupelo,1,US,1567310840,56,34.26,23.0,2.63
41,Hobart,75,AU,1567310729,62,-42.88,15.56,3.1
42,Qaanaaq,72,GL,1567310841,44,77.48,3.77,3.93
43,Hermanus,81,ZA,1567310841,77,-34.42,14.44,1.79
